pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
90.857147,-83.248726,-90.0,top,C1,,,C_0805_2012Metric,1n,smt
108.544085,-54.535326,180.0,top,C10,,,C_1210_3225Metric,0.1u,smt
83.9,-67.380326,0.0,top,C11,,,C_0805_2012Metric,10p,smt
95.5,-54.005326,0.0,top,C12,,,C_1210_3225Metric,0.47u,smt
94.25,-63.855326,0.0,top,C13,,,C_1210_3225Metric,4.7u,smt
105.5,-78.0,-90.0,top,C14,,,C_1210_3225Metric,4.7u,smt
101.975,-69.285326,180.0,top,C15,,,C_1210_3225Metric,4.7u,smt
109.5,-73.5,0.0,top,C16,,,C_1210_3225Metric,1u,smt
93.5,-49.530326,90.0,top,C17,,,C_1210_3225Metric,4.7u,smt
68.0,-67.380326,180.0,top,C2,,,C_1210_3225Metric,0.1u,smt
89.5,-75.155326,-90.0,top,C3,,,C_1210_3225Metric,4.7u,smt
93.0,-70.380326,90.0,top,C4,,,C_1210_3225Metric,1u,smt
93.0,-75.130326,-90.0,top,C5,,,C_1210_3225Metric,0.1u,smt
89.5,-70.380326,90.0,top,C6,,,C_1210_3225Metric,0.1u,smt
77.0,-67.630326,90.0,top,C7,,,C_0805_2012Metric,10p,smt
73.25,-64.380326,0.0,top,C8,,,C_0805_2012Metric,10p,smt
83.9,-69.880326,0.0,top,C9,,,C_0805_2012Metric,10p,smt
69.57,-69.880326,180.0,top,D1,,,D_0201_0603Metric,ESDZL5-1F4,smt
102.544085,-54.405326,180.0,top,D2,,,D_SOD-123F,PMEG6010CEH,smt
98.65,-39.75,180.0,top,F1,,,Fuseholder_Clip-5x20mm_Bel_FC-203-22_Lateral_P17.80x5.00mm_D1.17mm_Horizontal,Fuse,tht
72.0,-87.630326,90.0,top,J1,,,PinHeader_2x07_P1.27mm_Vertical,Conn_ST_STDC14,tht
81.225,-76.880326,90.0,top,J2,,,PinHeader_1x02_P2.54mm_Vertical,I2C,tht
68.75,-34.76,-90.0,top,J4,,,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",CAN+POWER,tht
78.0,-57.755326,180.0,top,J5,,,PinHeader_1x02_P2.54mm_Vertical,CAN,tht
100.479085,-73.285326,90.0,top,J6,,,PinHeader_1x02_P2.54mm_Vertical,3.3V,tht
87.225,-63.855326,90.0,top,J7,,,PinHeader_1x02_P2.54mm_Vertical,5V,tht
105.5,-61.5,-90.0,top,L1,,,L_Taiyo-Yuden_MD-5050,18u,smt
83.75,-73.130326,-90.0,top,R1,,,R_0805_2012Metric,10K,smt
80.25,-73.130326,90.0,top,R2,,,R_0805_2012Metric,10K,smt
109.544085,-67.535326,180.0,top,R3,,,R_0805_2012Metric,33k,smt
113.0,-68.5,90.0,top,R4,,,R_0805_2012Metric,10K,smt
84.25,-49.005326,0.0,top,R5,,,R_0805_2012Metric,120,smt
96.43,-50.024989,-90.0,top,R6,,,R_0805_2012Metric,100k,smt
65.0,-63.130326,90.0,top,SW1,,,SW_PUSH_6mm,generic 6mm tht switch,tht
86.437092,-83.148728,0.0,top,U1,,,MPRLS_HNW,MPRLS0025PA00001A,smt
71.75,-77.424475,-90.0,top,U2,,,LQFP64_STM,STM32C092RCT6,smt
97.75,-84.9,180.0,top,U3,,,Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm,SCD40-D-R2,smt
106.829085,-50.252826,180.0,top,U4,,,SOT-23-6,LV2862YDDCT,smt
91.75,-58.121326,0.0,top,U5,,,SOT-23_2p92X2p37_TLV1709_DBZ_TEX,TLV709A50DBVR,smt
84.13,-55.495326,90.0,top,U6,,,SOIC-8_3.9x4.9mm_P1.27mm,TJA1051T-3,smt
73.3,-67.680326,90.0,top,Y1,,,Crystal_SMD_2016-4Pin_2.0x1.6mm,48MHz,smt
80.75,-68.630326,90.0,top,Y2,,,Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm,32.768KHz,smt
